manufacturer,model,drive,cylinders,transmission,fuel
ford,explorer eddie bauer 4x4,4wd,8,automatic,gas
ford,f150 supercrew cab fx2,fwd,6,automatic,gas
subaru,brz limited coupe 2d,rwd,6,automatic,gas
jeep,2016,fwd,6,manual,diesel
audi,a8 l quattro awd,4wd,6,automatic,gas
gmc,envoy,4wd,6,automatic,gas
nissan,versa note,fwd,4,manual,gas
toyota,tacoma double cab trd,4wd,6,automatic,gas
jeep,wrangler sport,4wd,6,automatic,gas
toyota,corolla im automatic,fwd,4,automatic,gas
dodge,charger r/t sedan 4d,rwd,8,automatic,gas
ford,e-350sd commercial,4wd,8,automatic,gas
lexus,is 350 f sport sedan 4d,rwd,6,automatic,gas
mazda,mazda3 i touringsedan 5a,fwd,4,automatic,gas
jeep,xt4,4wd,8,manual,gas
bmw,x5 xdrive30i,4wd,6,automatic,gas
ram,2500 crew cab big horn,4wd,8,automatic,diesel
harley-davidson,davidson 883 iron,rwd,4,manual,gas
ford,f150 fx4,fwd,8,automatic,gas
chevrolet,express passenger,rwd,8,automatic,gas
nissan,sentra s,4wd,4,automatic,gas
nissan,370z coupe,rwd,6,automatic,gas
ford,f-150 automatic,rwd,6,automatic,gas
ford,transit-150,rwd,6,automatic,gas
cadillac,xt5 luxury sport,fwd,6,automatic,other
kia,forte s sedan 4d,fwd,4,automatic,other
cadillac,Peterbilt 379,rwd,6,manual,other
mazda,mazda3 i grand touring,fwd,6,automatic,gas
ford,e350 passenger van,rwd,8,automatic,gas
honda,accord 4-door sedan,fwd,4,automatic,gas
chrysler,5th avenue,rwd,8,automatic,gas
infiniti,g35 sedan,rwd,6,automatic,gas
volvo,xc90 t5 momentum,4wd,4,automatic,gas
subaru,forester x,4wd,6,automatic,gas
mazda,cx-5 grand touring,rwd,4,automatic,gas
bmw,7 series 750i sedan 4d,4wd,4,automatic,other
fiat,124 spider classica,rwd,6,automatic,gas
ford,f-150 king ranch 4x4 ecoboo,4wd,8,automatic,gas
kia,rio,4wd,6,automatic,gas
rover,hse 4x4 s,fwd,4,automatic,gas
infiniti,q60,fwd,4,automatic,gas
ford,ranger supercrew lariat 4x4,4wd,4,automatic,gas
kia,stinger premium sedan 4d,rwd,4,automatic,gas
honda,civic ex hatchback 4d,fwd,8,automatic,gas
mercedes-benz,glk-class,rwd,6,automatic,gas
chrysler,town country lwb,fwd,6,automatic,gas
chevrolet,equinox premier awd,4wd,8,automatic,gas
acura,tsx sedan 4d,fwd,4,automatic,gas
volkswagen,golf gti,fwd,4,automatic,gas
honda,fit ex-l w/navigation,fwd,6,automatic,gas
hyundai,elantra gt,fwd,4,automatic,other
toyota,c-hr,fwd,4,automatic,gas
ford,f-650 sd,rwd,10,automatic,gas
ram,1500 classic slt 4x4,4wd,6,automatic,gas
chevrolet,scion xb,fwd,4,automatic,gas
cadillac,escalade esv,4wd,8,automatic,gas
rover,range evoque se,4wd,6,automatic,gas
jeep,wrangler unlimited sahara,4wd,6,automatic,gas
bmw,3 series 328d xdrive sport,fwd,6,automatic,diesel
volvo,s80,4wd,8,automatic,gas
chevrolet,spark ev 2lt hatchback,fwd,6,automatic,electric
bmw,330ci,fwd,4,automatic,gas
chevrolet,Chevorlet Camaro Z28,rwd,8,manual,gas
bmw,x3 xdrive28i,fwd,6,automatic,gas
alfa-romeo,romeo giulia,4wd,4,automatic,gas
mercedes-benz,benz ml350,4wd,6,automatic,gas
subaru,b9 tribeca 5-pass ltd,4wd,6,automatic,gas
honda,cr-v lx awd,4wd,4,automatic,gas
buick,enclave leather sport,rwd,8,automatic,other
jeep,cherokee latitude plus,4wd,6,automatic,gas
ford,f-350 super duty xl,rwd,8,automatic,gas
chevrolet,"silverado 1500 custom trail boss w/ 4wd, z71 off road",4wd,8,automatic,gas
ford,f550 super duty,rwd,8,automatic,diesel
jaguar,xe,4wd,6,automatic,gas
honda,civic exl,fwd,4,automatic,gas
honda,accord 2002,fwd,6,automatic,gas
gmc,acadia slt-1,4wd,6,automatic,gas
acura,rlx sport hybrid sh-awd,4wd,6,automatic,hybrid
toyota,tacoma trd off road 4x4,4wd,8,automatic,gas
toyota,land cruiser,4wd,6,manual,gas
nissan,triumph tr4,fwd,4,manual,gas
chevrolet,s10 pickup,rwd,4,manual,gas
toyota,4runner limited 4x4,4wd,6,automatic,gas
kia,scion fr-s coupe 2d,rwd,4,automatic,gas
chevrolet,chevelle malibu ss,rwd,8,automatic,gas
toyota,tacoma access cab sr,4wd,4,automatic,gas
ram,2500 cummins,4wd,5,automatic,diesel
infiniti,q50 3.0t luxe,rwd,6,automatic,other
toyota,prius hybrid hatchback,fwd,4,automatic,gas
ford,escape hybrid,4wd,4,automatic,hybrid
pontiac,trans am,rwd,8,automatic,gas
gmc,blue bird bus,rwd,6,automatic,diesel
mercury,sable,fwd,4,automatic,gas
infiniti,qx70,4wd,6,automatic,gas
jeep,commander,4wd,6,automatic,gas
mercedes-benz,benz e350,rwd,6,automatic,gas
saturn,sky redline turbo,rwd,4,automatic,gas
ford,convertible,fwd,8,manual,gas
ram,1500 limited crewcab leveled,4wd,8,automatic,gas
nissan,quest 3.5 sv,fwd,6,automatic,gas
kia,International TerraStar,rwd,8,automatic,diesel
ford,focus se hatch,fwd,4,automatic,gas
subaru,xv crosstrek premium,4wd,8,automatic,gas
ford,f-550,4wd,8,,gas
chevrolet,2500,4wd,6,automatic,diesel
chevrolet,cruze limited,fwd,4,automatic,gas
ram,chassis cab,4wd,4,automatic,diesel
jaguar,xj xjl portfolio sedan 4d,rwd,6,automatic,other
saturn,CHEVORLET EXPRESS 3500 1 TON,4wd,8,automatic,gas
ford,f-250 superduty lariat,4wd,4,automatic,diesel
pontiac,g6 gtsedan,fwd,6,automatic,gas
subaru,forester 2.5x,4wd,4,automatic,gas
ford,explorer xlt awd,4wd,6,automatic,gas
ford,f-350sd lariat,4wd,8,automatic,diesel
nissan,370z,4wd,6,manual,gas
dodge,durango r/t awd gas suv,4wd,6,automatic,gas
ford,f250 lariat 4x4 diesel,fwd,8,automatic,diesel
lincoln,continental reserve,fwd,6,automatic,other
nissan,370z nismo coupe 2d,rwd,6,automatic,gas
toyota,tundra limited 4x4,4wd,8,automatic,gas
volkswagen,jetta gli autobahn,fwd,4,manual,gas
hyundai,sonata sel sedan 4d,fwd,8,automatic,gas
rover,izuzu npr,rwd,6,automatic,diesel
mitsubishi,delica l400,4wd,4,automatic,diesel
mazda,mazda2,4wd,6,manual,gas
mercury,sable base,4wd,6,automatic,gas
lexus,cushman,rwd,4,automatic,gas
ford,f-150 stx crew,rwd,4,automatic,gas
mercedes-benz,240d,rwd,4,automatic,diesel
infiniti,m35,4wd,6,automatic,gas
ford,saab 9-3,rwd,8,automatic,gas
ram,1500 laramie,4wd,6,automatic,other
honda,civic lx sedan 4d,fwd,8,automatic,gas
ram,1500 laramie crew cab short,4wd,8,automatic,gas
lexus,is 250 sedan 4d,rwd,6,automatic,gas
chevrolet,silverado 1500 ld,4wd,8,automatic,gas
infiniti,q60 2.0t coupe 2d,fwd,6,automatic,other
chevrolet,tahoe 4x4,4wd,4,automatic,gas
gmc,terrain sle-1 sport utility,fwd,6,automatic,gas
nissan,juke 5dr wgn cvt sv fwd,fwd,4,automatic,gas
ram,1500 quad cab,4wd,8,automatic,gas
jeep,wrangler sport suv 2d,4wd,6,automatic,gas
pontiac,bonneville,rwd,6,automatic,gas
gmc,3500,fwd,6,automatic,gas
bmw,4 series 428i xdrive,4wd,4,automatic,gas
ford,camry solara sle v6,fwd,4,automatic,gas
chevrolet,colorado crew cab lt,rwd,6,automatic,gas
subaru,impreza wrx,4wd,4,manual,gas
ford,tuarus se,fwd,6,automatic,gas
acura,ilx sedan 4d,4wd,4,automatic,gas
buick,enclave essence sport,fwd,6,automatic,gas
dodge,caravan se,fwd,6,automatic,gas
chevrolet,savana cargo van,4wd,6,manual,gas
cadillac,xt4 premium luxury,4wd,6,automatic,gas
mercedes-benz,gls-class,4wd,6,automatic,gas
chevrolet,silverado lt 1500,rwd,4,automatic,gas
honda,accord ex-l coupe,fwd,4,automatic,gas
ram,1500 big horn,rwd,8,automatic,gas
subaru,forester 2.5i premium local trade* clean title* no accidents* all weather pkg* eyesight* navigation* back up camera* tyger roof basket* full clear bra on front* non smoker*2-keys,4wd,4,automatic,gas
honda,prelude,fwd,4,automatic,gas
volvo,"xc60 t8 inscription 1,300 miles",4wd,4,automatic,gas
nissan,Peterbilt 337,rwd,6,automatic,diesel
chevrolet,tahoe ls sport utility,4wd,4,automatic,other
saturn,outlook,rwd,6,automatic,gas
gmc,yukon sle,4wd,8,automatic,gas
chrysler,pacifica limited,fwd,8,automatic,gas
gmc,terrain sle backup cam,4wd,4,automatic,gas
honda,civic ex sedan,fwd,4,automatic,gas
ford,ranger regular cab,4wd,6,automatic,gas
mercedes-benz,slk 300,4wd,6,automatic,gas
hyundai,elantra limited,fwd,4,automatic,gas
ford,mainline,4wd,4,automatic,other
ram,2500 crew cab slt 4x4,4wd,6,automatic,diesel
toyota,corolla s,fwd,4,automatic,gas
nissan,titan sv 4x4,4wd,8,automatic,gas
cadillac,Genesis G70 2.0T Sedan 4D,4wd,8,automatic,other
bmw,evoque,fwd,6,manual,gas
ram,1500 crew cab,4wd,8,automatic,gas
ford,SCION TC Base,fwd,4,automatic,gas
hyundai,sonata gls,fwd,4,automatic,gas
ford,f-150 lariat,rwd,6,automatic,gas
chevrolet,150 post,rwd,8,manual,gas
bmw,3 series 340i sedan 4d,rwd,8,automatic,gas
chevrolet,silverado 1500 ltz,4wd,8,automatic,gas
mercedes-benz,320e,rwd,6,automatic,gas
ram,3500 big horn,4wd,6,automatic,diesel
ford,fiesta,fwd,4,manual,gas
bmw,x1,4wd,6,automatic,gas
bmw,550i,rwd,8,automatic,gas
saturn,Odyssey,fwd,6,automatic,gas
hyundai,sonata gls sedan 4d,fwd,4,automatic,gas
toyota,Camaro Coupe,rwd,6,automatic,gas
porsche,boxster s,4wd,6,manual,gas
hyundai,sonata 2.4l se,fwd,4,automatic,gas
chevrolet,silverado 3500,fwd,8,automatic,gas
jeep,renegade limited 4x4 gas,4wd,5,automatic,gas
chevrolet,silverado 3500 high ct,4wd,6,automatic,diesel
acura,tlx,4wd,6,automatic,other
dodge,durango gt,rwd,6,automatic,gas
ford,edge limited,fwd,6,automatic,gas
volvo,s80 3.2,fwd,6,automatic,gas
volvo,s60 t5 inscription,4wd,6,automatic,other
toyota,tacoma access cab sr5,rwd,8,automatic,gas
lincoln,continental,fwd,8,automatic,gas
jaguar,x-type,4wd,6,automatic,gas
dodge,charger se,rwd,8,automatic,gas
jeep,Mobility Vehicle - 1 vpn,fwd,4,automatic,gas
hyundai,elantra value edition,fwd,4,automatic,gas
chevrolet,tahoe 4wd 4dr 1500 ltz,4wd,8,automatic,gas
bmw,x6 xdrive35i sport utility,4wd,6,automatic,gas
alfa-romeo,romeo spider graduate,rwd,4,manual,gas
gmc,jimmy,4wd,6,automatic,gas
ford,edge sel awd,4wd,6,automatic,gas
ram,promaster city,rwd,4,automatic,gas
subaru,ascent,fwd,4,automatic,gas
volkswagen,ats sedan,4wd,8,manual,gas
chevrolet,tahoe lt 4wd,4wd,6,automatic,gas
jaguar,xc90 2.5t 4wd,rwd,8,automatic,gas
lexus,gs 350,rwd,8,automatic,gas
hyundai,accent gs,fwd,4,manual,gas
chevrolet,silverado 4x4 z71,4wd,8,automatic,gas
chevrolet,malibu classic,fwd,4,automatic,gas
ford,transit connect passenger,fwd,6,automatic,gas
jeep,liberty limited 4x4,4wd,6,automatic,gas
ford,f-550 super duty,4wd,8,automatic,other
gmc,custom cab c20,rwd,6,manual,gas
bmw,4 series 430i,rwd,8,automatic,gas
cadillac,sts,fwd,4,automatic,gas
volvo,s90 t5 momentum sedan 4d,rwd,4,automatic,gas
cadillac,xt4 2.0 turbo litre,rwd,6,automatic,gas
ford,taurus ses,fwd,6,automatic,gas
jeep,hyandai sonata,fwd,4,automatic,gas
chevrolet,equinox lt2 *fr $499 down guaranteed finance awd,4wd,4,automatic,gas
buick,envision,4wd,4,automatic,gas
honda,accord touring,4wd,6,automatic,gas
bmw,4 series 440i convertible 2d,rwd,4,automatic,gas
ford,explorer sport trac,rwd,6,automatic,gas
subaru,crosstrek premium awd gas,4wd,6,manual,gas
chevrolet,trailblazer rs,4wd,6,automatic,gas
toyota,all makes,4wd,6,automatic,gas
saturn,F350 XL 4dr Crew Diesel Dually,rwd,8,automatic,diesel
volvo,s60,4wd,6,automatic,gas
lincoln,mkx premium awd,fwd,4,automatic,gas
lexus,rx 330,4wd,6,automatic,gas
ford,super duty f-550 drw,rwd,8,automatic,diesel
chevrolet,corvette zr1,rwd,8,manual,gas
chevrolet,k30,4wd,8,automatic,diesel
hyundai,triumph spitfire,rwd,4,manual,gas
toyota,Champion Shuttle Bus,fwd,4,automatic,diesel
nissan,sentra s sedan,fwd,4,automatic,gas
tesla,model s performance sedan,rwd,4,automatic,electric
chrysler,300 limited sedan 4d,rwd,6,automatic,gas
chevrolet,express 2500 work van,rwd,8,automatic,other
volkswagen,jetta sel pzev 4dr sedan,fwd,5,automatic,gas
mazda,mx-5 miata rf grand,rwd,4,automatic,gas
toyota,fj cruiser sport utility,4wd,6,automatic,gas
volvo,xc60 t6 momentum sport,rwd,4,automatic,gas
chevrolet,ss impala,fwd,8,automatic,gas
subaru,wrx premium,4wd,4,manual,gas
cadillac,xt6,4wd,8,automatic,gas
jeep,sport,4wd,6,automatic,gas
buick,regal premium 1,fwd,4,automatic,gas
acura,mdx awd,4wd,6,automatic,gas
bmw,x5 xdrive35i awd suv,4wd,4,automatic,gas
mercury,grand marquis gs,rwd,8,automatic,gas
mercedes-benz,slk350,rwd,6,automatic,gas
chevrolet,f-150 extra cab,4wd,6,automatic,diesel
ford,ranger supercab xlt pickup,4wd,8,automatic,gas
audi,s5 prestige coupe 2d,4wd,6,automatic,gas
volkswagen,tiguan 2.0t s 4motion,fwd,4,automatic,gas
dodge,charger 392,4wd,8,automatic,gas
nissan,grand caravan,4wd,4,automatic,gas
gmc,c6,fwd,4,,diesel
toyota,highlander hybrid le,fwd,8,automatic,hybrid
gmc,4500,fwd,8,automatic,gas
mercedes-benz,benz unimog,4wd,6,manual,gas
gmc,sienna,rwd,6,manual,gas
chrysler,pt cruiser basewagon,rwd,4,automatic,gas
hyundai,sonata hybrid,fwd,4,automatic,hybrid
subaru,crosstrek,4wd,6,automatic,gas
ford,500 sedan,fwd,6,automatic,gas
toyota,2003 F250 Superduty,4wd,8,manual,gas
mercedes-benz,m-class ml 500,4wd,8,automatic,gas
alfa-romeo,romeo stelvio sport utility,4wd,6,automatic,gas
lexus,hs 250h sedan 4d,fwd,4,automatic,hybrid
mitsubishi,eclipse cross es,4wd,8,automatic,other
chevrolet,tracker,fwd,8,manual,gas
volkswagen,golf r,4wd,4,manual,gas
ram,2500 slt,4wd,6,automatic,diesel
fiat,500,fwd,8,manual,gas
dodge,avenger,fwd,6,automatic,gas
nissan,sentra 2.0 s,fwd,4,automatic,gas
dodge,challenger r/t scat pack,rwd,8,automatic,gas
ford,e-series chassis e-350,fwd,8,automatic,diesel
honda,pilot exl dvd 4wd,4wd,6,automatic,gas
chevrolet,cruze ls sedan 4d,fwd,8,automatic,other
ford,e-350 super duty,rwd,8,automatic,gas
dodge,pilot,4wd,4,manual,gas
pontiac,firebird,rwd,8,automatic,gas
dodge,olet Silverado 2500HD,4wd,8,automatic,diesel
nissan,370z roadster,4wd,6,automatic,gas
ram,3500 slt,4wd,6,automatic,diesel
honda,odysseyexl,fwd,6,automatic,gas
chevrolet,silverado 2500 lt,4wd,8,automatic,diesel
ford,f250sd,4wd,6,automatic,diesel
mini,cooper,fwd,4,automatic,gas
mitsubishi,eclipse,fwd,6,automatic,gas
chevrolet,Genesis G70 2.0T Advanced Sedan,rwd,8,automatic,gas
subaru,xv crosstrek premium 4wd,4wd,4,automatic,gas
bmw,x5 xdrive 4.8i awd sport-suv,4wd,6,automatic,gas
audi,a6 3.0t premium plus sedan,fwd,6,automatic,other
dodge,nitro heat 4x4,4wd,6,automatic,gas
lincoln,navigator l select sport,4wd,4,automatic,other
ram,diesels cummins 3500,4wd,8,automatic,diesel
chrysler,200 limited,4wd,6,automatic,gas
ram,model a,4wd,6,automatic,diesel
bmw,228,rwd,4,manual,gas
hyundai,veloster turbo,fwd,6,automatic,other
bmw,323ci,4wd,6,automatic,gas
subaru,forester base,4wd,4,automatic,other
lexus,all brands,4wd,4,automatic,gas
toyota,camry solara,4wd,8,automatic,other
ram,promaster 2500,rwd,6,automatic,gas
dodge,dakota slt,4wd,6,automatic,gas
nissan,pathfinder sv,fwd,6,automatic,gas
lexus,es350 fwd gas sedan auto,fwd,4,automatic,gas
audi,q3 sport premium utility 4d,fwd,6,automatic,gas
chevrolet,silverado 3500hd built after aug 14,4wd,8,automatic,gas
ram,1500 hemi v8,rwd,8,automatic,gas
mazda,cx-5 signature diesel,4wd,8,automatic,diesel
nissan,leaf s hatchback 4d,fwd,6,automatic,other
pontiac,vibe gt,fwd,6,automatic,gas
kia,sedona sx minivan 4d,fwd,6,automatic,gas
pontiac,isuzu NPR,4wd,6,automatic,diesel
volkswagen,FordE350,rwd,6,automatic,gas
acura,mdx sport,fwd,6,automatic,gas
nissan,murano sl awd,4wd,6,automatic,gas
toyota,highlander le sport,fwd,6,automatic,gas
audi,"a4 **awd, navigation,",4wd,4,automatic,gas
chevrolet,silverado 2500 hd cre,4wd,6,automatic,gas
nissan,titan s,fwd,8,automatic,gas
ford,f-150 super cab,rwd,8,automatic,gas
chrysler,300 300c sedan 4d,rwd,4,automatic,other
dodge,dart limited,fwd,4,manual,gas
toyota,sienna xle,4wd,8,automatic,gas
ram,promaster city cargo,fwd,4,automatic,gas
cadillac,mercades,4wd,6,automatic,gas
toyota,prius prius ii cvt,fwd,6,automatic,gas
lexus,es 350 sedan 4d,fwd,6,automatic,gas
cadillac,escalade esv premium,4wd,8,automatic,other
toyota,c-hr xle,fwd,8,automatic,gas
jeep,wrangler jk unlimited 4x4,4wd,4,automatic,gas
ford,windstar lx minivan,fwd,6,automatic,gas
bmw,acadia slt-1,fwd,4,automatic,gas
buick,HUMMER H2,fwd,8,automatic,gas
toyota,rav4 adventure sport,fwd,6,automatic,gas
honda,accord ex-l,fwd,6,manual,gas
chevrolet,camaro rs cv,rwd,8,automatic,gas
bmw,330i,4wd,6,automatic,diesel
ford,f250 manual,4wd,8,manual,diesel
cadillac,2005 Isuzu,fwd,4,automatic,diesel
dodge,2500,rwd,4,automatic,diesel
acura,zdx,4wd,6,automatic,gas
hyundai,tucson gls,rwd,4,automatic,gas
dodge,nitro,4wd,4,automatic,gas
lincoln,mark v,rwd,8,automatic,gas
volkswagen,cabriolet convertible,fwd,4,automatic,gas
bmw,z4 sdrive35is roadster 2d,rwd,8,automatic,other
chevrolet,silverado 2500 ltz crew cab 6.6 duramax,4wd,8,automatic,diesel
ford,f-550sd,rwd,4,automatic,other
bmw,x1 xdrive35i,fwd,6,automatic,gas
jeep,wrangler unlimited 4x4,4wd,6,manual,gas
ford,wheelchair handicap van,fwd,6,automatic,gas
gmc,yukon 4x4,4wd,8,automatic,gas
chevrolet,malibu 1lt,fwd,8,automatic,gas
chevrolet,International b32,rwd,8,manual,gas
chrysler,eagle premier,fwd,6,automatic,gas
honda,fit ex-l hatchback 4d,fwd,4,automatic,gas
volkswagen,e-golf se hatchback,fwd,6,automatic,gas
mercedes-benz,benz c300,4wd,6,automatic,gas
nissan,maxima 3.5 sv,4wd,4,automatic,gas
buick,verano,fwd,4,automatic,gas
chevrolet,cavalier,fwd,4,automatic,gas
rover,discovery sport,4wd,4,automatic,gas
kia,2016 F45-F750,4wd,6,automatic,diesel
ford,f150 3dr ext,4wd,8,automatic,gas
dodge,Massimo T BOSS,4wd,4,automatic,gas
gmc,acadia slt,4wd,6,automatic,gas
audi,s5,4wd,8,manual,gas
toyota,camry se,fwd,4,automatic,gas
porsche,356 roadster,rwd,4,manual,gas
lincoln,town car,rwd,8,automatic,gas
audi,q7,4wd,4,,gas
gmc,sierra 2500 hd double cab,4wd,8,automatic,gas
infiniti,q70l,rwd,4,automatic,gas
nissan,quest 3.5le,fwd,6,automatic,gas
bmw,328i xdrive,4wd,6,automatic,gas
mercury,international,4wd,6,automatic,diesel
mitsubishi,fuso,rwd,4,manual,diesel
infiniti,qx30 luxury,4wd,4,automatic,gas
bmw,3-series,rwd,4,automatic,gas
chevrolet,silverado 1500 ls,4wd,6,automatic,gas
pontiac,firebird trans am gta,rwd,8,automatic,gas
audi,a5 premium coupe 2d,fwd,8,automatic,other
mitsubishi,outlander phev gt,4wd,4,automatic,other
kia,optima sx sedan 4d,fwd,8,automatic,other
porsche,boxster roadster 2d,fwd,8,automatic,other
acura,rdx sh-awd sport utility,4wd,4,automatic,other
jeep,gladiator,4wd,6,automatic,gas
subaru,smart fortwo Passion Hatchback,rwd,6,automatic,gas
ford,transit 150 cargo van,rwd,6,automatic,gas
toyota,prius c,fwd,4,automatic,hybrid
jeep,wrangler jk,4wd,6,automatic,gas
ford,ranger lariat truck,4wd,4,automatic,gas
ford,escape xlt,4wd,6,automatic,gas
ford,transit 350,rwd,6,automatic,gas
ram,yukon,4wd,8,automatic,gas
hyundai,sonata hybrid se sedan,fwd,6,automatic,other
toyota,highlander se,fwd,6,automatic,other
volvo,s60 t5,fwd,5,automatic,gas
mercedes-benz,b-class b 250e,fwd,6,automatic,gas
volkswagen,golf 4dr hb man tdi,fwd,4,manual,diesel
ford,f-350 dually crew cab,4wd,8,automatic,diesel
ford,fairlane,rwd,6,automatic,gas
ford,edge sel,4wd,6,automatic,gas
ford,HUMMER H3,4wd,5,automatic,gas
chevrolet,impala lt,fwd,6,automatic,gas
dodge,durango gt sport utility,rwd,6,automatic,gas
nissan,armada sv sport utility,fwd,8,automatic,gas
lincoln,mk iii,rwd,8,automatic,gas
ram,"1500 4wd crew cab 149"" laramie",4wd,8,automatic,diesel
dodge,sprinter 2500 base,rwd,6,automatic,diesel
ford,excursion limited,4wd,8,automatic,diesel
kia,soul +,fwd,4,manual,gas
honda,cr-v ex l 4dr suv,4wd,8,automatic,gas
chevrolet,blazer lt,4wd,6,automatic,gas
buick,encore essence sport,fwd,6,automatic,gas
bmw,x2,4wd,4,automatic,gas
lexus,rc 300,4wd,6,automatic,gas
chevrolet,equinox fwd 4dr lt,fwd,4,automatic,gas
toyota,Genesis G70 3.3T Advanced Sedan,rwd,6,automatic,other
lexus,rx 330 4wd 5-speed automatic,4wd,6,automatic,gas
lexus,ct 200h,4wd,4,automatic,hybrid
jaguar,xe p300 r-dynamic s sedan,4wd,8,automatic,other
honda,"civic sport, loaded, reli",fwd,4,automatic,gas
pontiac,gla 250 4matic,rwd,8,manual,gas
acura,Oldsmobile Bravada,4wd,6,automatic,gas
ford,COLEMAN 2825RK,fwd,8,automatic,gas
ford,e350,4wd,8,automatic,gas
nissan,murano platinum awd,4wd,4,automatic,gas
dodge,grand caravan passenger se,fwd,6,automatic,gas
honda,civic hybrid 4dr sdn l4,fwd,4,automatic,other
gmc,sierra durmax 3500 hd slt,4wd,4,automatic,diesel
toyota,highlander limited awd,4wd,6,automatic,gas
mercury,mountaineer,4wd,8,automatic,gas
ford,mustang ecoboost,rwd,6,automatic,gas
hyundai,PROGRAMS as little as $500 DOWN!,rwd,6,automatic,gas
ford,f150 lariat 4x4 half ton,4wd,8,automatic,gas
ford,f150 supercrew cab,4wd,6,automatic,gas
ford,f-350 sd,4wd,8,automatic,gas
jeep,amc eagle,4wd,6,automatic,gas
chevrolet,spark lt,fwd,4,automatic,gas
ford,flat bed,rwd,6,automatic,gas
mercedes-benz,c-class c300 4matic sport sedan,rwd,6,automatic,hybrid
ford,transit connect van xlt,fwd,6,automatic,gas
mazda,mazda6 touring,fwd,4,automatic,gas
toyota,prius c two,fwd,4,automatic,hybrid
honda,accord sport 1.5t,fwd,4,automatic,gas
buick,enclave cxl,4wd,6,automatic,gas
volkswagen,touareg tdi,4wd,4,automatic,diesel
dodge,journey crossroad awd,4wd,6,automatic,gas
pontiac,bonneville se,fwd,6,automatic,gas
mercedes-benz,glk350 4matic awd,4wd,4,automatic,gas
ford,International,4wd,6,automatic,diesel
ford,ecosport se sport utility,fwd,4,automatic,gas
honda,accord crosstour,4wd,6,automatic,gas
chevrolet,f-250 super duty xlt,rwd,8,automatic,gas
rover,range sport hse,4wd,6,automatic,gas
volkswagen,eos 2.0t,rwd,6,automatic,gas
honda,insight touring sedan 4d,fwd,4,automatic,other
mini,cooper s hardtop 2 door,fwd,4,automatic,gas
chevrolet,camaro lt,rwd,6,automatic,gas
chevrolet,sonic ls,4wd,6,automatic,gas
bmw,4 series 430i xdrive gran,4wd,8,automatic,other
dodge,i,4wd,4,automatic,diesel
ford,f-150 limited,4wd,6,automatic,gas
bmw,2002,rwd,4,manual,gas
honda,passport,4wd,4,automatic,gas
honda,accord ex,fwd,4,automatic,gas
ford,2000 F350 4x4,4wd,8,automatic,diesel
dodge,caliber,fwd,4,automatic,gas
nissan,altima 2.5sl,fwd,4,automatic,gas
lexus,nx 200t f sport suv 4d,fwd,6,automatic,gas
cadillac,3 series,4wd,6,automatic,gas
ford,outback,4wd,6,automatic,gas
ford,f450 super duty crew cab,4wd,8,automatic,diesel
buick,enclave cxl awd,4wd,6,automatic,gas
ford,fusion hybrid,fwd,4,automatic,hybrid
ford,mustang ecoboost - rear camera - bluetooth -,rwd,4,automatic,gas
jeep,suzuki grand vitara,fwd,6,manual,gas
mini,Scion iM Hatchback 4D,rwd,8,automatic,other
ford,f-650 dump,rwd,6,automatic,diesel
ford,fussion,rwd,4,automatic,gas
ford,crown victoria lx,rwd,8,automatic,gas
ford,f-350 crane,rwd,8,automatic,gas
lexus,nx200t,fwd,4,automatic,gas
ford,f-350 platinum,4wd,8,automatic,diesel
dodge,dart se sedan 4d,fwd,6,automatic,gas
ford,explorer limited,4wd,8,automatic,gas
chevrolet,silverado ltz,4wd,8,automatic,diesel
chevrolet,suburban 1500 ltz,4wd,8,automatic,other
honda,accord crosstour ex-l,rwd,4,automatic,gas
mercedes-benz,benz r350 4matic,4wd,6,automatic,gas
ford,f350 deisel power stroke,4wd,6,automatic,diesel
volkswagen,cabrio,fwd,6,automatic,gas
mercedes-benz,benz gl350 bluetec,4wd,6,automatic,diesel
ram,1500 big horn/lone star,4wd,8,automatic,gas
honda,crv ex,4wd,4,automatic,gas
nissan,rogue sport,4wd,6,automatic,gas
mercedes-benz,benz e320 wagon,rwd,6,automatic,gas
jeep,liberty sport 4wd,4wd,6,automatic,gas
jeep,compass limited,rwd,4,automatic,gas
subaru,scion xb,fwd,4,automatic,gas
dodge,grand caravan se,fwd,6,automatic,gas
mercedes-benz,benz c250 sport,fwd,4,automatic,gas
hyundai,Towmotor BHF20,fwd,4,automatic,other
gmc,sierra 3500 sle,4wd,8,automatic,diesel
gmc,sierra 1500 extended cab slt,4wd,8,automatic,other
acura,rdx,fwd,6,automatic,gas
honda,civic type r touring,fwd,4,automatic,other
gmc,yukon xl denali,4wd,8,automatic,gas
chevrolet,trax ltz sport utility,fwd,6,automatic,gas
jaguar,international 4400,rwd,8,automatic,diesel
bmw,750i,rwd,8,automatic,gas
chevrolet,express 2500,4wd,6,automatic,gas
ford,mustang v6 convertible 2d,rwd,6,automatic,gas
hyundai,genesis 3.8 sedan 4d,rwd,6,automatic,other
gmc,safari passenger,4wd,6,automatic,gas
porsche,convertible,rwd,6,manual,gas
chevrolet,captiva sport ls,fwd,4,automatic,gas
toyota,rav 4 limited,4wd,6,automatic,gas
dodge,dart swinger,rwd,8,automatic,gas
mitsubishi,fuso fe145,rwd,4,automatic,diesel
